tarih,min_trafik_indeksi,max_trafik_indeksi,ort_trafik_indeksi
2016-12-29,9,83,43.39
2016-12-30,15,69,36.86
2016-12-31,9,51,23.66
2017-01-01,4,24,12.77
2017-01-02,1,58,21.8
2017-01-03,2,62,23.68
2017-01-04,1,67,26.37
2017-01-05,1,76,35.1
2017-01-06,2,90,36.37
2017-01-07,5,69,21.85
2017-01-08,2,24,7.5
2017-01-09,15,60,40.14
2017-01-10,7,38,22.61
2017-01-11,8,50,26.86
2017-01-12,5,50,28.33
2017-01-13,11,70,34.51
2017-01-14,9,54,30.17
2017-01-15,4,47,24.77
2017-01-16,8,64,35.2
2017-01-17,15,64,36.7
2017-01-18,13,69,37.74
2017-01-19,13,69,35.14
2017-01-20,15,69,38.15
2017-01-21,11,49,27.64
2017-01-22,8,42,22.67
2017-01-23,11,56,29.4
2017-01-24,9,59,30.41
2017-01-25,9,65,35.91
2017-01-26,9,59,28.28
2017-01-27,9,49,25.64
2017-01-28,6,53,28.55
2017-01-29,4,42,22.21
2017-01-30,9,57,30.45
2017-01-31,8,63,28.87
2017-02-01,1,65,26.05
2017-02-02,1,64,28.84
2017-02-03,1,64,28.34
2017-02-04,1,49,24.95
2017-02-05,4,47,22.07
2017-02-06,1,51,22.3
2017-02-07,1,53,23.97
2017-02-08,1,59,26.34
2017-02-09,4,64,32.38
2017-02-10,4,56,25.7
2017-02-11,1,42,20.06
2017-02-12,1,45,18.84
2017-02-13,1,57,25.64
2017-02-14,2,56,27.93
2017-02-15,1,53,23.52
2017-02-16,2,56,28.16
2017-02-17,1,63,27.22
2017-02-18,1,45,21.92
2017-02-19,1,38,16.58
2017-02-20,2,63,28.56
2017-02-21,1,56,26.07
2017-02-22,1,54,25.0
2017-02-23,1,59,27.28
2017-02-24,1,61,28.22
2017-02-25,1,11,5.15
2017-03-07,4,63,36.86
2017-03-08,1,59,28.97
2017-03-09,1,71,31.46
2017-03-10,1,57,26.95
2017-03-11,1,51,25.67
2017-03-12,6,47,21.91
2017-03-13,1,57,28.18
2017-03-14,2,64,32.46
2017-03-15,2,49,23.37
2017-03-16,1,51,26.17
2017-03-17,1,63,30.6
2017-03-18,1,45,22.24
2017-03-19,1,49,15.97
2017-03-20,1,49,21.67
2017-03-21,1,51,25.68
2017-03-22,1,63,28.56
2017-03-23,1,57,26.86
2017-03-24,1,59,27.35
2017-03-25,1,49,25.67
2017-03-26,1,49,20.51
2017-03-27,1,56,23.98
2017-03-28,1,56,25.77
2017-03-29,1,57,25.85
2017-03-30,1,59,27.65
2017-03-31,1,54,26.21
2017-04-01,1,51,24.83
2017-04-02,1,47,20.18
2017-04-03,1,51,22.86
2017-04-04,1,53,24.76
2017-04-05,1,56,25.36
2017-04-06,1,56,27.48
2017-04-07,1,63,29.68
2017-04-08,1,65,33.02
2017-04-09,1,54,25.46
2017-04-10,1,56,23.15
2017-04-11,1,59,28.17
2017-04-12,1,56,27.48
2017-04-13,1,61,28.67
2017-04-14,1,64,29.42
2017-04-15,1,49,25.71
2017-04-16,1,47,15.11
2017-04-17,1,71,31.61
2017-04-18,2,59,29.02
2017-04-19,1,56,25.96
2017-04-20,1,69,29.47
2017-04-21,1,56,24.51
2017-04-22,1,53,26.5
2017-04-23,1,47,18.03
2017-04-24,4,51,24.18
2017-04-25,1,54,26.76
2017-04-26,1,57,27.5
2017-04-27,1,45,22.04
2017-04-28,22,61,43.8
2017-04-29,1,51,29.9
2017-04-30,1,49,26.13
2017-05-01,1,29,11.49
2017-05-02,1,51,26.25
2017-05-03,1,56,27.53
2017-05-04,1,61,30.56
2017-05-05,1,61,29.11
2017-05-06,1,57,28.78
2017-05-07,1,49,23.76
2017-05-08,1,53,24.84
2017-05-09,1,56,26.56
2017-05-10,1,56,27.65
2017-05-11,1,59,28.87
2017-05-12,1,64,29.76
2017-05-13,1,57,29.03
2017-05-14,1,49,27.55
2017-05-15,1,53,26.29
2017-05-16,1,56,25.8
2017-05-17,1,67,29.44
2017-05-18,1,67,31.41
2017-05-19,1,36,16.79
2017-05-20,1,49,22.26
2017-05-21,1,44,21.28
2017-05-22,1,54,23.26
2017-05-23,1,59,28.13
2017-05-24,1,57,28.35
2017-05-25,1,64,30.66
2017-05-26,1,59,30.17
2017-05-27,1,36,13.8
2017-05-28,1,20,6.33
2017-05-29,1,53,20.41
2017-05-30,1,53,25.33
2017-05-31,1,54,22.25
2017-06-01,1,54,24.61
2017-06-02,1,61,25.6
2017-06-03,1,47,19.5
2017-06-04,1,36,11.36
2017-06-05,1,53,23.39
2017-06-06,1,54,22.32
2017-06-07,1,56,24.13
2017-06-08,1,57,27.86
2017-06-09,1,67,28.88
2017-06-10,1,49,18.91
2017-06-11,1,45,12.32
2017-06-12,1,59,28.57
2017-06-13,1,61,26.99
2017-06-14,1,61,27.38
2017-06-15,1,57,27.32
2017-06-16,1,67,28.77
2017-06-17,1,57,25.18
2017-06-18,1,49,17.35
2017-06-19,2,57,30.3
2017-06-20,1,56,26.16
2017-06-21,1,59,26.81
2017-06-22,1,61,28.27
2017-06-23,1,54,25.55
2017-06-24,1,27,9.92
2017-06-25,1,51,25.27
2017-06-26,1,45,19.98
2017-06-27,1,29,12.34
2017-06-28,1,36,11.99
2017-06-29,1,44,15.32
2017-06-30,1,49,19.44
2017-07-01,1,33,16.57
2017-07-02,1,29,11.72
2017-07-03,1,54,25.59
2017-07-04,1,61,29.78
2017-07-05,13,59,33.15
2017-07-06,13,63,34.82
2017-07-07,11,63,35.64
2017-07-08,13,49,29.51
2017-07-09,11,35,22.64
2017-07-10,13,53,27.78
2017-07-11,1,54,26.32
2017-07-12,1,53,27.32
2017-07-13,1,56,27.43
2017-07-14,1,57,31.51
2017-07-15,1,36,20.14
2017-07-16,1,35,18.59
2017-07-17,1,51,24.49
2017-07-18,1,71,27.33
2017-07-19,1,57,25.93
2017-07-20,1,54,27.01
2017-07-21,1,59,28.98
2017-07-22,1,49,24.71
2017-07-23,1,35,17.06
2017-07-24,1,49,24.57
2017-07-25,1,53,26.17
2017-07-26,1,54,25.29
2017-07-27,1,82,28.88
2017-07-28,1,54,24.6
2017-07-29,1,44,22.49
2017-07-30,1,29,14.93
2017-07-31,1,49,25.42
2017-08-01,1,54,27.8
2017-08-02,1,56,25.96
2017-08-03,1,54,27.01
2017-08-04,1,59,26.98
2017-08-05,1,44,22.12
2017-08-06,1,27,13.55
2017-08-07,1,51,23.95
2017-08-08,1,53,25.97
