hat_kodu,SHATADI,HAT_UZUNLUGU,SEFER_SURESI,oran_haziran,sefer_haziran,yolcu_haziran,oran_aralik,sefer_aralik,yolcu_aralik,ortalama_oran,ortalama_sefer,ortalama_yolcu,ortalama_yolcu_sefer,verimlilik_tier,kok_kod,supheli_kod_eslesmesi,hat_tipi_kume,hat_tipi_ad
97BT,KOCASİNAN İTFAİYE-TAKSİM,19.2841,91.78,3.744918938625491,92,6644,2.5148360755733226,137,6644,3.1298775070994065,114.5,6644.0,58.02620087336245,orta_ust,97,False,2,tali_kucuk
97E,MAHMUTBEY - KAZLIÇEŞME,21.31252,101.52,2.814290451947509,687,41206,2.4319717490414323,795,41206,2.6231311004944704,741.0,41206.0,55.608636977058026,orta_ust,97,False,2,tali_kucuk
97G,YENİ MAHALLE METRO - AKSARAY,15.30693,76.31,6.142188901076541,2160,203079,5.801105389735606,2287,203079,5.971647145406074,2223.5,203079.0,91.3330335057342,ust_ceyrek,97,False,0,orta_yogunluklu
97GE,15 TEMMUZ MAHALLESİ - EMİNÖNÜ,21.8663,103.75,4.718685313896054,2120,218742,4.590919167260044,2179,218742,4.654802240578048,2149.5,218742.0,101.76413119330076,ust_ceyrek,97,False,0,orta_yogunluklu
97KZ,KOCASİNAN - ZEYTİNBURNU,14.40985,74.62,2.4895590297907657,302,10834,1.4858632944601011,506,10834,1.9877111621254333,404.0,10834.0,26.81683168316832,alt_ceyrek,97,False,2,tali_kucuk
97M,15 TEMMUZ MAHALLESİ - MECİDİYEKÖY,22.19111,110.08,2.6062141574703066,3559,205834,2.322362590494948,3994,205834,2.464288373982628,3776.5,205834.0,54.503905732821394,orta_ust,97,False,0,orta_yogunluklu
97T,BASINSİTESİ - TAKSİM,17.5783,84.45,5.221368114073445,1045,95913,5.05215711037662,1080,95913,5.1367626122250325,1062.5,95913.0,90.27105882352942,ust_ceyrek,97,False,2,tali_kucuk
98,FENERTEPE/BAŞAKŞEHİR - BAKIRKÖY,33.64343,162.65,5.055854328831557,1963,333899,4.757738277802659,2086,333899,4.906796303317108,2024.5,333899.0,164.92911830081502,ust_ceyrek,98,False,3,uzun_kirsal
98A,GÖZTEPE MAHALLESİ - BAKIRKÖY,17.08317,78.21,4.932591360634495,647,54519,4.160869113859868,767,54519,4.546730237247182,707.0,54519.0,77.11315417256012,ust_ceyrek,98,False,2,tali_kucuk
98AB,ATAKENT/HALKALI - BAKIRKÖY,20.19283,93.4,6.08156775749945,2067,253836,5.114158077604298,2458,253836,5.597862917551874,2262.5,253836.0,112.19270718232043,ust_ceyrek,98,False,0,orta_yogunluklu
98B,KUYUMCUKENT - BAKIRKÖY,11.24457,53.92,9.244703596051783,2411,250630,9.607319125034849,2320,250630,9.426011360543315,2365.5,250630.0,105.95222997252166,ust_ceyrek,98,False,0,orta_yogunluklu
98D,YENİ MAHALLE METRO - BAKIRKÖY,9.60822,47.63,8.985597642483082,1177,101617,8.21121772143058,1288,101617,8.598407681956832,1232.5,101617.0,82.44787018255577,ust_ceyrek,98,False,2,tali_kucuk
98E,GÜNEŞLİ BASIN TESİSLERİ - BAKIRKÖY,14.04265,74.68,4.898091045338436,404,27788,4.201334994303032,471,27788,4.549713019820734,437.5,27788.0,63.51542857142857,ust_ceyrek,98,False,2,tali_kucuk
